Time:2023-03-21 19:15:00 EP:47 Reward:0 Avg_reward:1.0681702127659574 Epsilon:0.05 Iter:1190 Res:Result.Defeat
Time:2023-03-21 19:16:44 EP:48 Reward:0 Avg_reward:1.0459166666666666 Epsilon:0.05 Iter:1250 Res:Result.Defeat
Time:2023-03-21 19:18:29 EP:49 Reward:0 Avg_reward:1.0245714285714287 Epsilon:0.05 Iter:1265 Res:Result.Defeat
Time:2023-03-21 19:20:16 EP:50 Reward:0.01 Avg_reward:1.00428 Epsilon:0.05 Iter:1286 Res:Result.Defeat
Time:2023-03-21 19:22:11 EP:51 Reward:0 Avg_reward:0.9845882352941177 Epsilon:0.05 Iter:1431 Res:Result.Defeat
Time:2023-03-21 19:24:13 EP:52 Reward:0 Avg_reward:0.9656538461538461 Epsilon:0.05 Iter:1479 Res:Result.Defeat
Time:2023-03-21 19:25:52 EP:53 Reward:0 Avg_reward:0.9474339622641509 Epsilon:0.05 Iter:1185 Res:Result.Defeat
Time:2023-03-21 19:27:25 EP:54 Reward:0 Avg_reward:0.9298888888888889 Epsilon:0.05 Iter:1109 Res:Result.Defeat
Time:2023-03-21 19:29:04 EP:55 Reward:0 Avg_reward:0.9129818181818181 Epsilon:0.05 Iter:1180 Res:Result.Defeat
Time:2023-03-21 19:30:35 EP:56 Reward:0 Avg_reward:0.8966785714285714 Epsilon:0.05 Iter:1061 Res:Result.Defeat
Time:2023-03-21 19:32:11 EP:57 Reward:0 Avg_reward:0.8809473684210526 Epsilon:0.05 Iter:1170 Res:Result.Defeat
Time:2023-03-21 19:33:52 EP:58 Reward:0 Avg_reward:0.8657586206896551 Epsilon:0.05 Iter:1206 Res:Result.Defeat
Time:2023-03-21 19:35:59 EP:59 Reward:0 Avg_reward:0.8510847457627119 Epsilon:0.05 Iter:1521 Res:Result.Defeat
Time:2023-03-21 19:37:32 EP:60 Reward:0 Avg_reward:0.8369 Epsilon:0.05 Iter:1100 Res:Result.Defeat
Time:2023-03-21 19:39:06 EP:61 Reward:0 Avg_reward:0.8231803278688524 Epsilon:0.05 Iter:1129 Res:Result.Defeat
Time:2023-03-21 19:40:49 EP:62 Reward:0 Avg_reward:0.8099032258064516 Epsilon:0.05 Iter:1228 Res:Result.Defeat
Time:2023-03-21 19:42:29 EP:63 Reward:0 Avg_reward:0.797047619047619 Epsilon:0.05 Iter:1194 Res:Result.Defeat
Time:2023-03-21 19:44:08 EP:64 Reward:0 Avg_reward:0.78459375 Epsilon:0.05 Iter:1183 Res:Result.Defeat
Time:2023-03-21 19:46:07 EP:65 Reward:0 Avg_reward:0.7725230769230769 Epsilon:0.05 Iter:1438 Res:Result.Defeat
Time:2023-03-21 19:47:50 EP:66 Reward:0 Avg_reward:0.7608181818181818 Epsilon:0.05 Iter:1244 Res:Result.Defeat
Time:2023-03-21 19:49:26 EP:67 Reward:0 Avg_reward:0.7494626865671642 Epsilon:0.05 Iter:1140 Res:Result.Defeat
Time:2023-03-21 19:51:07 EP:68 Reward:0 Avg_reward:0.7384411764705883 Epsilon:0.05 Iter:1221 Res:Result.Defeat
Time:2023-03-21 19:52:48 EP:69 Reward:0 Avg_reward:0.7277391304347826 Epsilon:0.05 Iter:1206 Res:Result.Defeat
Time:2023-03-21 19:54:38 EP:70 Reward:0 Avg_reward:0.7173428571428572 Epsilon:0.05 Iter:1320 Res:Result.Defeat
Time:2023-03-21 19:56:18 EP:71 Reward:0 Avg_reward:0.7072394366197183 Epsilon:0.05 Iter:1200 Res:Result.Defeat
Time:2023-03-21 19:58:07 EP:72 Reward:0 Avg_reward:0.6974166666666667 Epsilon:0.05 Iter:1312 Res:Result.Defeat
Time:2023-03-21 19:59:53 EP:73 Reward:0.005 Avg_reward:0.687931506849315 Epsilon:0.05 Iter:1270 Res:Result.Defeat
Time:2023-03-21 20:02:06 EP:74 Reward:0 Avg_reward:0.6786351351351352 Epsilon:0.05 Iter:1601 Res:Result.Defeat
Time:2023-03-21 20:04:03 EP:75 Reward:0.01 Avg_reward:0.66972 Epsilon:0.05 Iter:1410 Res:Result.Defeat
Time:2023-03-21 20:05:42 EP:76 Reward:0 Avg_reward:0.6609078947368421 Epsilon:0.05 Iter:1180 Res:Result.Defeat
Time:2023-03-21 20:07:16 EP:77 Reward:0 Avg_reward:0.6523246753246753 Epsilon:0.05 Iter:1127 Res:Result.Defeat
Time:2023-03-21 20:09:13 EP:78 Reward:0 Avg_reward:0.6439615384615385 Epsilon:0.05 Iter:1413 Res:Result.Defeat
Time:2023-03-21 20:10:58 EP:79 Reward:0 Avg_reward:0.6358101265822784 Epsilon:0.05 Iter:1261 Res:Result.Defeat
Time:2023-03-21 20:12:30 EP:80 Reward:0 Avg_reward:0.6278625 Epsilon:0.05 Iter:1094 Res:Result.Defeat
Time:2023-03-21 20:14:19 EP:81 Reward:0 Avg_reward:0.6201111111111111 Epsilon:0.05 Iter:1304 Res:Result.Defeat
Time:2023-03-21 20:16:05 EP:82 Reward:0 Avg_reward:0.6125487804878049 Epsilon:0.05 Iter:1259 Res:Result.Defeat
Time:2023-03-21 20:17:41 EP:83 Reward:0 Avg_reward:0.6051686746987952 Epsilon:0.05 Iter:1158 Res:Result.Defeat
Time:2023-03-21 20:19:11 EP:84 Reward:0 Avg_reward:0.5979642857142857 Epsilon:0.05 Iter:1076 Res:Result.Defeat
Time:2023-03-21 20:21:02 EP:85 Reward:0.01 Avg_reward:0.5910470588235294 Epsilon:0.05 Iter:1344 Res:Result.Defeat
Time:2023-03-21 20:23:15 EP:86 Reward:0 Avg_reward:0.5841744186046511 Epsilon:0.05 Iter:1610 Res:Result.Defeat
Time:2023-03-21 20:24:54 EP:87 Reward:0 Avg_reward:0.5774597701149425 Epsilon:0.05 Iter:1195 Res:Result.Defeat
Time:2023-03-21 20:26:40 EP:88 Reward:0 Avg_reward:0.5708977272727273 Epsilon:0.05 Iter:1266 Res:Result.Defeat
Time:2023-03-21 20:28:18 EP:89 Reward:0 Avg_reward:0.5644831460674157 Epsilon:0.05 Iter:1177 Res:Result.Defeat
