Time:2023-02-08 10:49:45 EP:46 Reward:0 Avg_reward:13.290760869565046 Epsilon:0.05 Iter:1100 Res:Result.Defeat
Time:2023-02-08 10:50:28 EP:47 Reward:0 Avg_reward:13.007978723404088 Epsilon:0.05 Iter:989 Res:Result.Defeat
Time:2023-02-08 10:51:20 EP:48 Reward:0 Avg_reward:12.736979166666506 Epsilon:0.05 Iter:1277 Res:Result.Defeat
Time:2023-02-08 10:52:18 EP:49 Reward:0 Avg_reward:12.477040816326372 Epsilon:0.05 Iter:1434 Res:Result.Defeat
Time:2023-02-08 10:53:30 EP:50 Reward:4.544999999999997 Avg_reward:12.318399999999844 Epsilon:0.05 Iter:1811 Res:Result.Defeat
Time:2023-02-08 10:54:34 EP:51 Reward:0 Avg_reward:12.076862745097888 Epsilon:0.05 Iter:1576 Res:Result.Defeat
Time:2023-02-08 10:55:29 EP:52 Reward:0 Avg_reward:11.844615384615235 Epsilon:0.05 Iter:1350 Res:Result.Defeat
Time:2023-02-08 10:56:26 EP:53 Reward:0 Avg_reward:11.621132075471552 Epsilon:0.05 Iter:1445 Res:Result.Defeat
Time:2023-02-08 10:58:49 EP:54 Reward:89.49000000000275 Avg_reward:13.063148148148056 Epsilon:0.05 Iter:3053 Res:Result.Defeat
Time:2023-02-08 10:59:59 EP:55 Reward:0 Avg_reward:12.825636363636272 Epsilon:0.05 Iter:1827 Res:Result.Defeat
Time:2023-02-08 11:00:54 EP:56 Reward:0 Avg_reward:12.596607142857055 Epsilon:0.05 Iter:1382 Res:Result.Defeat
Time:2023-02-08 11:01:47 EP:57 Reward:0 Avg_reward:12.375614035087633 Epsilon:0.05 Iter:1292 Res:Result.Defeat
Time:2023-02-08 11:02:46 EP:58 Reward:0 Avg_reward:12.16224137931026 Epsilon:0.05 Iter:1465 Res:Result.Defeat
Time:2023-02-08 11:03:35 EP:59 Reward:0 Avg_reward:11.956101694915171 Epsilon:0.05 Iter:1227 Res:Result.Defeat
Time:2023-02-08 11:04:26 EP:60 Reward:0 Avg_reward:11.756833333333251 Epsilon:0.05 Iter:1248 Res:Result.Defeat
Time:2023-02-08 11:05:39 EP:61 Reward:0.21000000000000008 Avg_reward:11.567540983606477 Epsilon:0.05 Iter:1879 Res:Result.Defeat
Time:2023-02-08 11:06:28 EP:62 Reward:0 Avg_reward:11.380967741935406 Epsilon:0.05 Iter:1183 Res:Result.Defeat
Time:2023-02-08 11:07:45 EP:63 Reward:0.06 Avg_reward:11.201269841269763 Epsilon:0.05 Iter:1953 Res:Result.Defeat
Time:2023-02-08 11:08:32 EP:64 Reward:0 Avg_reward:11.026249999999923 Epsilon:0.05 Iter:1125 Res:Result.Defeat
Time:2023-02-08 11:09:25 EP:65 Reward:0 Avg_reward:10.856615384615308 Epsilon:0.05 Iter:1289 Res:Result.Defeat
Time:2023-02-08 11:10:30 EP:66 Reward:0 Avg_reward:10.692121212121137 Epsilon:0.05 Iter:1661 Res:Result.Defeat
Time:2023-02-08 11:11:38 EP:67 Reward:0 Avg_reward:10.532537313432762 Epsilon:0.05 Iter:1783 Res:Result.Defeat
Time:2023-02-08 11:12:51 EP:68 Reward:0 Avg_reward:10.377647058823456 Epsilon:0.05 Iter:1869 Res:Result.Defeat
Time:2023-02-08 11:13:51 EP:69 Reward:0 Avg_reward:10.227246376811523 Epsilon:0.05 Iter:1483 Res:Result.Defeat
Time:2023-02-08 11:15:02 EP:70 Reward:0 Avg_reward:10.081142857142787 Epsilon:0.05 Iter:1825 Res:Result.Defeat
Time:2023-02-08 11:15:51 EP:71 Reward:0 Avg_reward:9.939154929577395 Epsilon:0.05 Iter:1182 Res:Result.Defeat
Time:2023-02-08 11:17:10 EP:72 Reward:0 Avg_reward:9.801111111111043 Epsilon:0.05 Iter:2027 Res:Result.Defeat
Time:2023-02-08 11:18:46 EP:73 Reward:0 Avg_reward:9.666849315068426 Epsilon:0.05 Iter:2541 Res:Result.Defeat
Time:2023-02-08 11:19:47 EP:74 Reward:0 Avg_reward:9.53621621621615 Epsilon:0.05 Iter:1530 Res:Result.Defeat
Time:2023-02-08 11:20:48 EP:75 Reward:0 Avg_reward:9.4090666666666 Epsilon:0.05 Iter:1527 Res:Result.Defeat
Time:2023-02-08 11:21:48 EP:76 Reward:0 Avg_reward:9.285263157894672 Epsilon:0.05 Iter:1498 Res:Result.Defeat
Time:2023-02-08 11:22:49 EP:77 Reward:0 Avg_reward:9.16467532467526 Epsilon:0.05 Iter:1502 Res:Result.Defeat
Time:2023-02-08 11:23:43 EP:78 Reward:0 Avg_reward:9.047179487179424 Epsilon:0.05 Iter:1324 Res:Result.Defeat
Time:2023-02-08 11:24:39 EP:79 Reward:0 Avg_reward:8.932658227848039 Epsilon:0.05 Iter:1344 Res:Result.Defeat
Time:2023-02-08 11:25:45 EP:80 Reward:0 Avg_reward:8.820999999999938 Epsilon:0.05 Iter:1680 Res:Result.Defeat
Time:2023-02-08 11:26:36 EP:81 Reward:0 Avg_reward:8.712098765432037 Epsilon:0.05 Iter:1235 Res:Result.Defeat
Time:2023-02-08 11:27:31 EP:82 Reward:0 Avg_reward:8.605853658536525 Epsilon:0.05 Iter:1373 Res:Result.Defeat
Time:2023-02-08 11:28:30 EP:83 Reward:0 Avg_reward:8.502168674698735 Epsilon:0.05 Iter:1444 Res:Result.Defeat
Time:2023-02-08 11:29:34 EP:84 Reward:0 Avg_reward:8.400952380952322 Epsilon:0.05 Iter:1423 Res:Result.Defeat
Time:2023-02-08 11:30:33 EP:85 Reward:0 Avg_reward:8.302117647058765 Epsilon:0.05 Iter:1520 Res:Result.Defeat
Time:2023-02-08 11:31:32 EP:86 Reward:0 Avg_reward:8.20558139534878 Epsilon:0.05 Iter:1503 Res:Result.Defeat
Time:2023-02-08 11:32:27 EP:87 Reward:0 Avg_reward:8.111264367816036 Epsilon:0.05 Iter:1333 Res:Result.Defeat
Time:2023-02-08 11:33:37 EP:88 Reward:0 Avg_reward:8.019090909090853 Epsilon:0.05 Iter:1794 Res:Result.Defeat
Time:2023-02-08 11:34:29 EP:89 Reward:0 Avg_reward:7.928988764044888 Epsilon:0.05 Iter:1255 Res:Result.Defeat
Time:2023-02-08 11:35:18 EP:90 Reward:0 Avg_reward:7.840888888888834 Epsilon:0.05 Iter:1170 Res:Result.Defeat
Time:2023-02-08 11:36:13 EP:91 Reward:0 Avg_reward:7.754725274725221 Epsilon:0.05 Iter:1364 Res:Result.Defeat
Time:2023-02-08 11:37:15 EP:92 Reward:0 Avg_reward:7.670434782608642 Epsilon:0.05 Iter:1578 Res:Result.Defeat
Time:2023-02-08 11:38:29 EP:93 Reward:0 Avg_reward:7.5879569892472585 Epsilon:0.05 Iter:1900 Res:Result.Defeat
Time:2023-02-08 11:39:39 EP:94 Reward:0 Avg_reward:7.507234042553139 Epsilon:0.05 Iter:1777 Res:Result.Defeat
Time:2023-02-08 11:44:01 EP:95 Reward:252.50999999994247 Avg_reward:10.086210526315131 Epsilon:0.05 Iter:3949 Res:Result.Defeat
Time:2023-02-08 11:44:51 EP:96 Reward:0 Avg_reward:9.981145833332683 Epsilon:0.05 Iter:1232 Res:Result.Defeat
Time:2023-02-08 11:45:59 EP:97 Reward:0 Avg_reward:9.878247422679769 Epsilon:0.05 Iter:1744 Res:Result.Defeat
Time:2023-02-08 11:47:02 EP:98 Reward:0 Avg_reward:9.777448979591199 Epsilon:0.05 Iter:1583 Res:Result.Defeat
Time:2023-02-08 11:47:57 EP:99 Reward:0 Avg_reward:9.678686868686238 Epsilon:0.05 Iter:1390 Res:Result.Defeat
Time:2023-02-08 11:50:12 EP:100 Reward:0.5400000000000003 Avg_reward:9.587299999999376 Epsilon:0.05 Iter:3439 Res:Result.Defeat
Time:2023-02-08 11:51:22 EP:101 Reward:0 Avg_reward:4.376399999999471 Epsilon:0.05 Iter:1795 Res:Result.Defeat
Time:2023-02-08 11:52:44 EP:102 Reward:0 Avg_reward:4.376399999999471 Epsilon:0.05 Iter:2168 Res:Result.Defeat
Time:2023-02-08 11:53:58 EP:103 Reward:0 Avg_reward:4.376399999999471 Epsilon:0.05 Iter:1894 Res:Result.Defeat
Time:2023-02-08 11:54:59 EP:104 Reward:0 Avg_reward:4.37639999999947 Epsilon:0.05 Iter:1502 Res:Result.Defeat
Time:2023-02-08 11:55:56 EP:105 Reward:0 Avg_reward:4.376399999999471 Epsilon:0.05 Iter:1401 Res:Result.Defeat
Time:2023-02-08 11:56:45 EP:106 Reward:0 Avg_reward:4.37639999999947 Epsilon:0.05 Iter:1176 Res:Result.Defeat
Time:2023-02-08 11:57:35 EP:107 Reward:0 Avg_reward:4.376399999999471 Epsilon:0.05 Iter:1173 Res:Result.Defeat
Time:2023-02-08 11:58:39 EP:108 Reward:0 Avg_reward:4.36724999999947 Epsilon:0.05 Iter:1590 Res:Result.Defeat
Time:2023-02-08 11:59:55 EP:109 Reward:0.03 Avg_reward:4.36754999999947 Epsilon:0.05 Iter:1944 Res:Result.Defeat
Time:2023-02-08 12:01:01 EP:110 Reward:0 Avg_reward:4.36754999999947 Epsilon:0.05 Iter:1657 Res:Result.Defeat
Time:2023-02-08 12:02:00 EP:111 Reward:0 Avg_reward:4.36754999999947 Epsilon:0.05 Iter:1427 Res:Result.Defeat
